Tên Trường,Latitude,Longitude
Đại Học Hồng Đức,19.7679314,105.7793314
Đại Học Ngoại Thương (Cơ sở phía Bắc),,
Đại Học Sư Phạm Hà Nội 2,,
Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,,
Đại Học Kinh Tế Quốc Dân,20.9997459,105.8434973
Học Viện Báo Chí – Tuyên Truyền,21.0375673,105.7888489
Đại Học Sư Phạm Nghệ Thuật Trung Ương,20.9831152,105.7943714
Đại học Thủ Đô Hà Nội,20.8645622,105.8646497
Đại Học Hà Nội,21.0388103,105.7818897
Học Viện Biên Phòng,21.1135755,105.4930333
Đại Học Quy Nhơn,13.7593965,109.2172639
Đại Học Sư Phạm Kỹ Thuật TPHCM,10.8527906,106.7725584
Học Viện Cảnh Sát Nhân Dân,21.0669489,105.7644373
UEB - Đại Học Kinh Tế – Đại Học Quốc Gia Hà Nội,,
Đại Học Sư Phạm TPHCM,10.7609339,106.6825968
Đại học Kiểm Sát Hà Nội,20.9686814,105.7472014
Đại Học Luật Hà Nội,21.0378978,105.7824482
Đại Học Vinh,9.9201893,106.3484141
Học Viện Quân Y - Hệ Quân sự,,
Học Viện Khoa Học Quân Sự - Hệ Quân sự,,
Học Viện An Ninh Nhân Dân,20.9806127,105.7919886
Đại Học Nội Vụ,21.0677976,105.8035927
Học viện Tòa án,21.0268911,105.9979559
Trường Sĩ Quan Chính Trị - Đại Học Chính Trị,,
Học Viện Kĩ Thuật Quân Sự - Hệ Quân sự,,
Đại Học Văn Hóa Hà Nội,21.0172028,105.8073565
Đại Học Bách Khoa Hà Nội,21.0055269,105.8435926
Đại Học Tôn Đức Thắng,10.7325639,106.6998188
Học Viện Ngoại Giao,21.0225728,105.8062739
USSH - Đại Học Khoa Học Xã Hội và Nhân Văn – Đại Học Quốc Gia Hà Nội,,
Đại Học Y Dược TPHCM,10.755264,106.6629435
USSH - Đại Học Khoa Học Xã Hội và Nhân Văn – Đại Học Quốc Gia TPHCM,,
Đại Học Sư Phạm Hà Nội,21.0390039,105.7842623
Đại Học Y Hà Nội,21.0022055,105.8297214
Đại Học Kiến Trúc Hà Nội,20.9810908,105.7892235
Đại Học Luật TPHCM,10.7672408,106.7060766
UL - Đại Học Luật – Đại Học Quốc Gia Hà Nội,,
Đại Học Phòng Cháy Chữa Cháy (phía Nam),,
Đại Học Phòng Cháy Chữa Cháy (Hệ Dân sự Phía Nam),,
Đại Học Phòng Cháy Chữa Cháy (Phía Bắc),,
Đại Học Phòng Cháy Chữa Cháy ( Hệ Dân sự Phía Bắc ),,
Đại Học Cảnh Sát Nhân Dân,10.8602236,106.7529109
Đại Học Ngoại Thương (phía Nam),,
Đại Học Văn Hóa – Nghệ Thuật Quân Đội,21.0172028,105.8073565
Đại Học Công Nghệ – Đại Học Quốc Gia Hà Nội,,
UEL - Đại học Kinh Tế – Luật – Đại Học Quốc Gia TPHCM,,
Đại Học Y Khoa Phạm Ngọc Thạch,10.7728867,106.666188
Đại Học Y Dược – Đại Học Huế,16.4594323,107.5878306
UT - Đại Học Bách Khoa – Đại Học Quốc Gia TPHCM,,
UIT - Đại Học Công Nghệ Thông Tin – Đại Học Quốc Gia TPHCM,,
Đại Học Dược Hà Nội,21.2491144,105.8276514
Đại Học Bách Khoa – Đại Học Đà Nẵng,16.0750158,108.1527236
Đại Học Kinh Tế TPHCM,10.7610675,106.6685227
Đại Học Y Dược Cần Thơ,10.0341047,105.7554088
Trường Sĩ Quan Pháo Binh,21.1101726,105.4810587
SMP - Đại học Y Dược - Đại học Quốc Gia Hà Nội,,
Đại Học Khoa Học Tự Nhiên – Đại Học Quốc Gia TPHCM,,
Đại Học Y Dược Thái Bình,20.4429316,106.3400605
