Khu vực,Tỉnh/ Thành phố,Mã trường xét tuyển,Mã Trường,Tên Trường,Loại đơn vị,Mã nhóm ngành,Nhóm ngành,Mã phân ngành,Phân ngành,Mã xét tuyển,Tên Ngành,Loại điểm,Tổ hợp,Điểm chuẩn,Ghi chú,Năm
Miền Trung - Tây Nguyên,Thanh Hóa,HDT,HĐU,Đại Học Hồng Đức,Công lập,714.0,Khoa học giáo dục và đào tạo giáo viên,71402,Đào tạo giáo viên,7140217CLC,Sư phạm Ngữ văn,THPTQG - Thang 40,D01,39.92,"CLC, thang 40, 3 năm THPT có hạnh kiểm tốt và học lực khá trở lên, Điểm thi TN THPT",2022
Miền Trung - Tây Nguyên,Thanh Hóa,HDT,HĐU,Đại Học Hồng Đức,Công lập,714.0,Khoa học giáo dục và đào tạo giáo viên,71402,Đào tạo giáo viên,7140217CLC,Sư phạm Ngữ văn,THPTQG - Thang 40,C00,39.92,"CLC, thang 40, 3 năm THPT có hạnh kiểm tốt và học lực khá trở lên, Điểm thi TN THPT",2022
Miền Trung - Tây Nguyên,Thanh Hóa,HDT,HĐU,Đại Học Hồng Đức,Công lập,714.0,Khoa học giáo dục và đào tạo giáo viên,71402,Đào tạo giáo viên,7140217CLC,Sư phạm Ngữ văn,THPTQG - Thang 40,C19,39.92,"CLC, thang 40, 3 năm THPT có hạnh kiểm tốt và học lực khá trở lên, Điểm thi TN THPT",2022
Miền Trung - Tây Nguyên,Thanh Hóa,HDT,HĐU,Đại Học Hồng Đức,Công lập,714.0,Khoa học giáo dục và đào tạo giáo viên,71402,Đào tạo giáo viên,7140217CLC,Sư phạm Ngữ văn,THPTQG - Thang 40,C20,39.92,"CLC, thang 40, 3 năm THPT có hạnh kiểm tốt và học lực khá trở lên, Điểm thi TN THPT",2022
Miền Trung - Tây Nguyên,Thanh Hóa,HDT,HĐU,Đại Học Hồng Đức,Công lập,714.0,Khoa học giáo dục và đào tạo giáo viên,71402,Đào tạo giáo viên,7140218CLC,Sư phạm Lịch sử,THPTQG - Thang 40,C00,39.92,"CLC, thang 40, 3 năm THPT có hạnh kiểm tốt và học lực khá trở lên, Điểm thi TN THPT",2022
Miền Trung - Tây Nguyên,Thanh Hóa,HDT,HĐU,Đại Học Hồng Đức,Công lập,714.0,Khoa học giáo dục và đào tạo giáo viên,71402,Đào tạo giáo viên,7140218CLC,Sư phạm Lịch sử,THPTQG - Thang 40,D14,39.92,"CLC, thang 40, 3 năm THPT có hạnh kiểm tốt và học lực khá trở lên, Điểm thi TN THPT",2022
Miền Trung - Tây Nguyên,Thanh Hóa,HDT,HĐU,Đại Học Hồng Đức,Công lập,714.0,Khoa học giáo dục và đào tạo giáo viên,71402,Đào tạo giáo viên,7140218CLC,Sư phạm Lịch sử,THPTQG - Thang 40,C19,39.92,"CLC, thang 40, 3 năm THPT có hạnh kiểm tốt và học lực khá trở lên, Điểm thi TN THPT",2022
Miền Trung - Tây Nguyên,Thanh Hóa,HDT,HĐU,Đại Học Hồng Đức,Công lập,714.0,Khoa học giáo dục và đào tạo giáo viên,71402,Đào tạo giáo viên,7140218CLC,Sư phạm Lịch sử,THPTQG - Thang 40,C03,39.92,"CLC, thang 40, 3 năm THPT có hạnh kiểm tốt và học lực khá trở lên, Điểm thi TN THPT",2022
Miền Bắc,Vĩnh Phúc,SP2,HNUE,Đại Học Sư Phạm Hà Nội 2,Công lập,714.0,Khoa học giáo dục và đào tạo giáo viên,71402,Đào tạo giáo viên,7140218,Sư phạm Lịch sử,THPTQG - Thang 40,C00,38.67,Điểm thi TN THPT (thang điểm 40),2022
Miền Bắc,Vĩnh Phúc,SP2,HNUE,Đại Học Sư Phạm Hà Nội 2,Công lập,714.0,Khoa học giáo dục và đào tạo giáo viên,71402,Đào tạo giáo viên,7140218,Sư phạm Lịch sử,THPTQG - Thang 40,C03,38.67,Điểm thi TN THPT (thang điểm 40),2022
