SBD,Sở GD,Toán,Văn,Sử,Địa,Lí,Hóa,Sinh,Ngoại ngữ,GDCD,Năm thi
2000001,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.0,,,8.0,8.5,7.75,8.2,,2021
2000002,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,7.0,7.75,8.0,,,,9.8,9.0,2021
2000003,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.5,7.75,7.25,,,,9.2,9.25,2021
2000004,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,7.0,6.0,7.5,,,,9.6,9.25,2021
2000005,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.75,,,5.75,8.0,7.25,8.6,,2021
2000006,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.5,6.75,6.5,,,,8.8,8.25,2021
2000007,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.0,,,5.5,7.25,4.75,5.0,,2021
2000008,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,5.5,,,6.25,7.0,5.25,9.0,,2021
2000009,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.25,,,6.5,8.25,5.75,9.0,,2021
2000010,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.5,7.25,7.0,,,,9.2,8.0,2021
2000011,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.5,,,5.75,6.25,5.75,8.8,,2021
2000012,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5.25,,,8.25,4.75,4.75,9.4,,2021
2000013,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,8.0,,,5.0,8.0,7.5,7.6,,2021
2000014,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,7.75,,,6.5,6.25,6.0,8.6,,2021
2000015,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5.75,,,7.25,7.25,6.0,9.2,,2021
2000016,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,7.75,,,6.25,8.25,7.75,9.2,,2021
2000017,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.5,,,6.5,7.0,5.25,8.2,,2021
2000018,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,8.0,5.75,5.5,,,,9.4,9.0,2021
2000019,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.0,,,7.75,8.25,6.75,9.6,,2021
2000020,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.5,,,5.75,6.5,4.5,8.8,,2021
2000021,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,8.0,7.5,9.0,,,,9.2,10.0,2021
2000022,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.25,7.75,7.25,,,,9.8,9.5,2021
2000023,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.75,,,5.5,7.5,3.5,7.6,,2021
2000024,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,6.75,6.5,7.75,,,,9.0,10.0,2021
2000025,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.5,,,6.0,7.25,4.25,9.4,,2021
2000026,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,4.25,,,5.25,4.25,3.75,8.6,,2021
2000027,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.75,,,7.75,6.25,5.75,9.8,,2021
2000028,Sở GD&ĐT Thành Phố Hồ Chí Minh,4.6,7.5,2.75,6.5,,,,6.0,5.75,2021
2000030,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.75,,,8.0,8.25,4.25,,,2021
2000031,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,7.25,4.75,6.5,,,,8.0,8.0,2021
2000032,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.75,,,6.5,7.0,6.0,8.6,,2021
2000033,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,3.75,,,8.25,7.25,4.5,5.8,,2021
2000034,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.0,,,3.0,4.5,4.25,9.4,,2021
2000035,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.5,,,4.0,6.5,7.25,7.4,,2021
2000036,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5.25,,,6.75,6.5,5.25,9.8,,2021
2000037,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,7.0,4.25,5.75,,,,9.2,8.25,2021
2000038,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,5.75,,,6.75,7.75,4.0,6.0,,2021
2000039,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.25,,,7.75,6.5,5.75,8.8,,2021
2000040,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,6.5,3.75,5.5,,,,8.0,8.5,2021
2000041,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,7.5,,,7.5,7.25,7.25,9.4,,2021
2000042,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,5.0,,,6.75,5.25,4.5,8.8,,2021
2000043,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,5.5,,,7.0,7.25,5.5,8.2,,2021
2000044,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.75,,,7.0,8.0,4.0,6.2,,2021
2000045,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5.75,,,6.5,7.75,6.25,9.8,,2021
2000046,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,5.75,,,7.0,6.5,5.0,9.0,,2021
2000047,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5.25,,,6.25,8.0,5.25,9.4,,2021
2000048,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,3.75,,,7.25,7.0,3.25,9.6,,2021
2000049,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,5.0,,,8.25,7.75,5.0,8.4,,2021
2000050,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,6.75,,,7.75,9.0,4.75,7.2,,2021
2000051,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.5,,,8.5,8.0,8.75,8.8,,2021
2000052,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,5.5,,,6.5,6.25,4.25,8.8,,2021
2000053,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.8,6.25,,,8.0,9.0,5.0,8.8,,2021
2000054,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.5,,,5.25,6.5,5.25,,,2021
2000055,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,5.25,,,7.5,6.75,6.0,9.4,,2021
2000056,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.25,5.5,7.75,,,,8.6,8.25,2021
2000057,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.0,8.0,3.75,7.25,,,,9.6,8.5,2021
2000058,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.25,,,5.75,8.5,7.25,7.2,,2021
2000059,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.75,7.0,6.5,,,,9.0,8.0,2021
2000060,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.25,,,6.5,8.25,9.0,9.0,,2021
2000061,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.25,3.5,7.25,,,,8.4,8.0,2021
2000062,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.75,,,5.75,6.5,6.0,9.6,,2021
2000063,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,8.0,9.0,9.0,,,,9.0,8.75,2021
2000064,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6.25,4.75,6.75,,,,9.4,6.75,2021
2000065,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.0,7.75,7.25,,,,9.6,6.75,2021
2000066,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.0,7.5,,,6.25,6.5,5.75,8.8,,2021
2000067,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.0,,,7.75,6.75,4.25,9.6,,2021
2000068,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.75,5.25,6.5,,,,9.0,8.75,2021
2000069,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.5,,,6.75,8.25,6.75,9.0,,2021
2000071,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,8.0,,,7.75,7.75,5.75,9.0,,2021
2000072,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.0,6.25,7.5,,,,9.6,8.5,2021
2000073,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.4,4.5,5.0,6.75,,,,8.4,9.75,2021
2000074,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.25,,,7.0,8.75,7.75,7.8,,2021
2000075,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.25,,,8.0,8.0,6.5,,,2021
2000076,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.0,,,8.25,7.5,6.75,6.2,,2021
2000078,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.0,4.5,,,8.0,3.75,4.5,9.2,,2021
