SBD,Sở GD,Toán,Văn,Sử,Địa,Lí,Hóa,Sinh,Ngoại ngữ,GDCD,Năm thi,A00,A01,A02,A07,A08,A09,A16,B00,B03,B08,C00,C01,C02,C03,C04,C05,C07,C08,C10,C14,C15,C19,C20,D00,D01,D07,D08,D09,D10,D11,D12,D13,D14,D15,D66,D72,D78,D84,D90,D96
2000001,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.0,,,8.0,8.5,7.75,8.2,,2021,24.7,24.4,23.95,,,,23.28,24.45,22.95,24.15,,23.2,23.7,,,23.5,,23.25,,,,,,23.4,23.4,24.9,24.15,,,23.2,23.7,22.95,,,,23.28,,,24.48,
2000002,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,7.0,7.75,8.0,,,,9.8,9.0,2021,,,,24.55,25.55,25.8,,,,,22.75,,,23.55,23.8,,,,,24.8,24.05,23.75,24.0,25.6,25.6,,,26.35,26.6,,,,24.55,24.8,25.8,,25.05,27.6,,26.85
2000003,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.5,7.75,7.25,,,,9.2,9.25,2021,,,,22.8,24.8,24.3,,,,,21.5,,,22.05,21.55,,,,,23.55,22.38,23.5,23.0,23.5,23.5,,,24.75,24.25,,,,23.45,22.95,24.95,,23.78,26.25,,25.08
2000004,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,7.0,6.0,7.5,,,,9.6,9.25,2021,,,,20.1,21.85,23.35,,,,,20.5,,,19.6,21.1,,,,,22.85,21.18,22.25,23.75,23.2,23.2,,,22.2,23.7,,,,22.6,24.1,25.85,,24.18,25.45,,23.78
2000005,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.75,,,5.75,8.0,7.25,8.6,,2021,21.75,22.35,21.0,,,,21.75,23.25,22.0,23.85,,20.5,22.75,,,20.5,,22.0,,,,,,23.35,23.35,24.6,23.85,,,21.1,23.35,22.6,,,,22.35,,,23.6,
2000006,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.5,6.75,6.5,,,,8.8,8.25,2021,,,,21.05,22.8,22.55,,,,,19.75,,,21.05,20.8,,,,,22.55,21.47,21.5,21.25,23.1,23.1,,,23.35,23.1,,,,22.05,21.8,23.55,,22.47,24.85,,23.77
2000007,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.0,,,5.5,7.25,4.75,5.0,,2021,20.95,18.7,18.45,,,,20.03,20.2,18.95,17.95,,19.7,21.45,,,18.75,,18.0,,,,,,19.2,19.2,20.45,17.95,,,16.5,18.25,15.75,,,,16.83,,,19.03,
2000008,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,5.5,,,6.25,7.0,5.25,9.0,,2021,20.85,22.85,19.1,,,,19.27,19.85,18.35,21.85,,19.35,20.1,,,18.75,,17.75,,,,,,22.1,22.1,23.6,21.85,,,20.75,21.5,19.75,,,,20.67,,,22.77,
2000009,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.25,,,6.5,8.25,5.75,9.0,,2021,22.35,23.1,19.85,,,,21.68,21.6,20.6,22.35,,21.35,23.1,,,22.0,,21.25,,,,,,23.85,23.85,24.85,22.35,,,22.75,24.5,22.0,,,,23.08,,,23.43,
2000010,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.5,7.25,7.0,,,,9.2,8.0,2021,,,,21.65,22.65,22.4,,,,,21.75,,,22.15,21.9,,,,,22.9,22.32,22.75,22.5,24.1,24.1,,,23.85,23.6,,,,23.95,23.7,24.7,,24.12,24.6,,24.02
2000011,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.5,,,5.75,6.25,5.75,8.8,,2021,19.6,22.15,19.1,,,,21.02,19.6,20.85,22.15,,20.85,21.35,,,19.5,,19.5,,,,,,23.9,23.9,22.65,22.15,,,22.05,22.55,22.05,,,,22.22,,,22.32,
2000012,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5.25,,,8.25,4.75,4.75,9.4,,2021,21.4,26.05,21.4,,,,19.57,17.9,18.4,22.55,,21.9,18.4,,,18.25,,14.75,,,,,,23.05,23.05,22.55,22.55,,,22.9,19.4,19.4,,,,20.57,,,23.72,
2000013,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,8.0,,,5.0,8.0,7.5,7.6,,2021,21.4,21.0,20.9,,,,23.23,23.9,23.9,23.5,,21.4,24.4,,,21.0,,23.5,,,,,,24.0,24.0,24.0,23.5,,,20.6,23.6,23.1,,,,22.43,,,22.83,
2000014,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,7.75,,,6.5,6.25,6.0,8.6,,2021,19.75,22.1,19.5,,,,21.0,19.25,20.75,21.6,,21.25,21.0,,,20.5,,20.0,,,,,,23.35,23.35,21.85,21.6,,,22.85,22.6,22.35,,,,22.6,,,21.85,
2000015,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5.75,,,7.25,7.25,6.0,9.2,,2021,22.9,24.85,21.65,,,,20.98,21.65,20.15,23.6,,21.4,21.4,,,20.25,,19.0,,,,,,23.35,23.35,24.85,23.6,,,22.2,22.2,20.95,,,,21.78,,,24.43,
2000016,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,7.75,,,6.25,8.25,7.75,9.2,,2021,22.5,23.45,22.0,,,,23.17,24.0,23.5,24.95,,22.0,24.0,,,22.25,,23.75,,,,,,24.95,24.95,25.45,24.95,,,23.2,25.2,24.7,,,,24.37,,,24.62,
2000017,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.5,,,6.5,7.0,5.25,8.2,,2021,20.7,21.9,18.95,,,,20.95,19.45,19.95,20.65,,21.2,21.7,,,21.0,,19.75,,,,,,22.9,22.9,22.4,20.65,,,22.2,22.7,20.95,,,,21.95,,,21.65,
2000018,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,8.0,5.75,5.5,,,,9.4,9.0,2021,,,,20.05,23.55,23.3,,,,,19.25,,,22.55,22.3,,,,,25.8,23.55,22.75,22.5,26.2,26.2,,,23.95,23.7,,,,23.15,22.9,26.4,,24.15,27.2,,24.95
2000019,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.0,,,7.75,8.25,6.75,9.6,,2021,23.8,25.15,22.3,,,,22.38,22.8,21.55,24.15,,22.55,23.05,,,23.0,,22.0,,,,,,24.4,24.4,25.65,24.15,,,24.35,24.85,23.35,,,,24.18,,,24.98,
2000020,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.5,,,5.75,6.5,4.5,8.8,,2021,20.65,22.95,18.65,,,,20.48,19.4,19.4,21.7,,20.65,21.4,,,18.75,,17.5,,,,,,23.7,23.7,23.7,21.7,,,21.05,21.8,19.8,,,,20.88,,,22.78,
2000021,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,8.0,7.5,9.0,,,,9.2,10.0,2021,,,,24.9,25.9,27.4,,,,,24.5,,,23.9,25.4,,,,,26.4,25.23,25.5,27.0,25.6,25.6,,,25.1,26.6,,,,24.7,26.2,27.2,,26.03,27.6,,26.43
2000022,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.25,7.75,7.25,,,,9.8,9.5,2021,,,,22.4,24.65,24.15,,,,,22.25,,,22.4,21.9,,,,,24.15,22.82,24.5,24.0,24.45,24.45,,,24.95,24.45,,,,24.8,24.3,26.55,,25.22,26.7,,25.37
2000023,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.75,,,5.5,7.5,3.5,7.6,,2021,20.2,20.3,16.2,,,,20.45,18.2,18.45,18.3,,20.45,22.45,,,20.75,,18.75,,,,,,22.55,22.55,22.3,18.3,,,20.85,22.85,18.85,,,,20.85,,,20.3,
2000024,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,6.75,6.5,7.75,,,,9.0,10.0,2021,,,,19.85,22.1,23.35,,,,,21.0,,,18.85,20.1,,,,,22.35,20.43,23.25,24.5,21.35,21.35,,,21.1,22.35,,,,22.25,23.5,25.75,,23.83,24.6,,22.68
