SBD,Sở GD,Toán,Văn,Sử,Địa,Lí,Hoá,Sinh,Ngoại ngữ,GDCD,Năm thi
2002006,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.2,6.75,4.75,6.25,,,,4.0,7.25,2024
2002007,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,8.0,8.0,8.5,,,,8.2,9.75,2024
2002009,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.25,6.25,4.5,,,,8.4,9.25,2024
2002010,Sở GD&ĐT Thành Phố Hồ Chí Minh,4.6,8.0,5.25,6.75,,,,8.6,8.5,2024
2002011,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,7.25,5.0,4.75,,,,5.8,6.25,2024
2002012,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.5,,,8.25,,6.0,5.6,,2024
2002013,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.5,,,7.5,,5.0,8.8,,2024
2002014,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,7.75,6.5,7.5,,,,5.8,9.0,2024
2002015,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.25,6.75,7.75,,,,5.8,8.75,2024
2002016,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,6.25,,,6.25,,4.25,6.6,,2024
2002017,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,6.25,,,4.0,,6.0,6.4,,2024
2002018,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,5.5,5.75,6.75,,,,7.0,8.25,2024
2002019,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,4.5,5.0,6.0,,,,4.6,7.75,2024
2002020,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,6.5,5.25,7.25,,,,8.6,8.0,2024
2002021,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.0,6.0,5.25,4.5,,,,4.4,8.25,2024
2002022,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,7.25,6.25,5.75,,,,7.2,7.25,2024
2002023,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,5.25,,,7.0,,4.5,7.2,,2024
2002024,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.5,,,6.0,,4.75,5.2,,2024
2002025,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,5.5,5.0,6.25,,,,6.2,8.5,2024
2002026,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.5,,,6.0,,4.75,7.6,,2024
2002027,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,6.25,,,4.25,,4.75,5.8,,2024
2002028,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,6.5,6.75,5.0,,,,6.6,7.25,2024
2002029,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,6.75,8.0,6.25,,,,6.4,8.25,2024
2002030,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.0,7.5,6.25,7.0,,,,5.4,7.5,2024
2002031,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,6.5,7.25,5.0,,,,8.0,9.0,2024
2002032,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.0,6.5,5.25,4.0,,,,5.2,8.25,2024
2002033,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5.75,,,5.5,,5.5,8.4,,2024
2002034,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.0,6.5,6.0,6.25,,,,6.0,7.25,2024
2002035,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,4.75,5.5,6.5,,,,5.8,7.5,2024
2002036,Sở GD&ĐT Thành Phố Hồ Chí Minh,4.6,8.5,6.0,7.25,,,,7.8,8.25,2024
2002037,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,7.0,,,3.0,,5.5,3.0,,2024
2002038,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6.5,4.25,6.0,,,,5.6,7.5,2024
2002039,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.5,7.25,6.75,,,,7.2,9.0,2024
2002040,Sở GD&ĐT Thành Phố Hồ Chí Minh,3.8,6.0,5.75,6.5,,,,4.4,7.0,2024
2002041,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,6.75,6.25,5.5,,,,6.4,8.25,2024
2002042,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,5.0,3.25,6.5,,,,6.6,8.0,2024
2002043,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,3.5,6.25,5.5,,,,8.4,7.75,2024
2002044,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.0,6.25,,,4.0,,4.75,4.8,,2024
2002045,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.25,,,7.75,,5.75,7.6,,2024
2002046,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,7.75,6.25,7.75,,,,8.0,9.25,2024
2002047,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.75,,,6.0,,7.25,8.8,,2024
2002048,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,6.25,4.75,6.75,,,,4.6,7.5,2024
2002049,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,7.75,6.0,8.25,,,,8.8,7.75,2024
2002050,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,5.75,,,4.75,,5.5,6.0,,2024
2002051,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.5,5.5,7.0,,,,5.8,8.75,2024
2002052,Sở GD&ĐT Thành Phố Hồ Chí Minh,4.6,6.25,7.0,7.0,,,,8.6,8.5,2024
2002053,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.0,7.0,6.75,5.75,,,,7.2,9.0,2024
2002054,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.4,6.5,,,3.75,,3.75,7.2,,2024
2002055,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,5.0,5.25,6.25,,,,5.2,8.0,2024
2002056,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,6.25,6.75,6.75,,,,6.6,8.75,2024
2002057,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.5,,,7.5,,6.0,9.0,,2024
2002058,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.0,5.0,,,4.75,,6.25,4.2,,2024
2002059,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.4,6.0,5.0,4.25,,,,3.0,5.75,2024
2002060,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.0,,,6.25,,6.5,6.6,,2024
2002061,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,5.75,6.25,7.0,,,,7.4,8.25,2024
2002062,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,5.5,,,6.75,,7.0,7.6,,2024
2002063,Sở GD&ĐT Thành Phố Hồ Chí Minh,4.6,6.5,6.75,5.25,,,,5.0,6.5,2024
2002064,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,7.5,,,6.5,,8.75,7.0,,2024
2002065,Sở GD&ĐT Thành Phố Hồ Chí Minh,4.6,4.25,,,2.5,,6.5,6.4,,2024
2002066,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,3.75,4.25,5.75,,,,2.8,6.25,2024
2002067,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.25,7.75,7.5,,,,6.2,8.25,2024
2002068,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,6.5,6.0,6.25,,,,7.4,8.5,2024
2002069,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.75,6.25,7.5,,,,7.0,7.5,2024
2002070,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,6.5,6.25,6.25,,,,5.0,8.75,2024
2002071,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,8.0,7.5,6.25,,,,7.6,8.5,2024
2002072,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,5.0,4.75,5.75,,,,4.2,6.5,2024
2002073,Sở GD&ĐT Thành Phố Hồ Chí Minh,4.2,7.0,8.5,6.25,,,,7.6,8.0,2024
2002074,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,6.25,6.25,8.5,,,,7.0,9.5,2024
2002075,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6.75,7.0,8.75,,,,5.6,8.25,2024
