Nhóm ngành,Ngành,Trường đào tạo,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn 2024,Ghi chú
Kế toán - Kiểm toán,Kế toán,Đại Học Kinh Tế Quốc Dân,7340301,Kế toán,A00; A01; D01; D07,27.29,
Kế toán - Kiểm toán,Kế toán,Đại Học Kinh Tế Quốc Dân,EP04,Kế toán tích hợp chứng chi quốc tế (JCAEW CFAB),A00; A01; D01; D07,27.2,
Kế toán - Kiểm toán,Kế toán,Đại Học Bách Khoa Hà Nội,EM4,Kế toán,"A00; A01; D01; K01 (Toán, Văn, Lý/Hóa/Sinh/Tin)",25.8,
Kế toán - Kiểm toán,Kế toán,Học Viện Tài chính,7340301,Kế toán,A00; A01; D01; D07,26.45,
Kế toán - Kiểm toán,Kế toán,Học Viện Tài chính,7340301C21,Kế toán doanh nghiệp (theo định hướng ACCA),A01; D01; D07,34.35,"CT định hướng CCQT, Tiếng Anh hệ số 2"
Kế toán - Kiểm toán,Kế toán,Học Viện Ngân Hàng,ACT02,Kế toán,A00; A01; D01; D07,26.25,
Kế toán - Kiểm toán,Kế toán,Học Viện Ngân Hàng,ACT03,"Kế toán (Liên kết với ĐH Sunderland, Anh quốc. Cấp song bằng)",A00; A01; D01; D07,24.0,
Kế toán - Kiểm toán,Kế toán,Trường Đại học Ngoại thương,KTKH1.1,Chương trình tiêu chuẩn Kế toán - Kiểm toán,A00; A01; D01; D07,27.8,
Kế toán - Kiểm toán,Kế toán,Trường Đại học Ngoại thương,KTKH2.1,Chương trình ĐHNNQT Kế toán - Kiểm toán theo định hướng ACCA,A00; A01; D01; D07,27.8,
Kế toán - Kiểm toán,Kế toán,Học Viện Công Nghệ Bưu Chính Viễn Thông,7340301,Kế toán,A00; A01; D01,25.29,TTNV<=16
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Thương Mại,TM07,Marketing (Marketing Thương mại),A00; A01; D01; D07,26.15,
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Thương Mại,TM09,Marketing (Marketing số),A00; A01; D01; D07,25.9,
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Giao Thông Vận Tải,7340301,Kế toán (chuyên ngành Kế toán tổng hợp),A00; A01; D01; D07,25.2,
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Giao Thông Vận Tải,7340301 QT,Kế toán (Chương trình CLC Kế toán tổng hợp Viêt - Anh),A00; A01; D01; D07,23.51,
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Công Nghiệp TPHCM,7340301,Kế toán gồm 02 chuyên ngành: Kế toán; Thuế,A00; A01; D01; D96,23.0,
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Công Nghiệp TPHCM,7340301C,Kế toán gồm 02 chuyên ngành: Kế toán; Thuế,A00; A01; D01; D96,21.0,CT tăng cường tiếng Anh
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Công Nghiệp TPHCM,7340301Q,Kế toán tích hợp chứng chỉ quốc tế Advanced Diploma in Accounting & Business của Hiệp hội Kế toán công chứng Anh (ACCA),A00; A01; D01; D96,21.0,CT tăng cường tiếng Anh
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Kinh Tế Kỹ Thuật Công Nghiệp,7340301DKD,Kế toán,A00; A01; C01; D01,17.5,Cơ sở Nam Định
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Kinh Tế Kỹ Thuật Công Nghiệp,7340301DKK,Kế toán,A00; A01; C01; D01,23.0,Cơ sở Hà Nội
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Phenikaa,FBE2,Kế toán,A00; A01; D01; D07,20.0,
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Hà Nội,7340301,Kế toán,D01,25.08,"Môn ngoại ngữ nhân hệ số 2, thang điểm 40"
Kế toán - Kiểm toán,Kế toán,Trường Đại học Thủ Dầu Một,7340301,Kế toán,A00; A01; D01; A16,22.0,
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Thăng Long,7340301,Kế toán,A00; A01; D01; D07,23.86,
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Thủy Lợi,TLA403,Kế toán,"A00; A01; D01; D07; X02 (Toán, Văn, Tin); X26 (Toán, Anh, Tin)",25.02,
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Tôn Đức Thắng,7340301,Kế toán,A00; A01; C01; D01,32.4,Thang điểm 40
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Tôn Đức Thắng,D7340301,Kế toán (Chuyên ngành Kế toán quốc tế) - Chương trình dự bị đại học bằng tiếng Anh,A01; D01,24.0,Thang điểm 40
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Tôn Đức Thắng,DK7340301,"Kế toán (song bằng 3+1) - Chương trình dự bị liên kết Đại học West of England, Bristol (Vương quốc Anh)",A01; D01,24.0,"Chương trình dự bị liên kết đào tạo quốc tế, thang điểm 40"
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Tôn Đức Thắng,F7340301,Kế toán - Chất lượng cao,A00; A01; C01; D01,27.0,Thang điểm 40
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Tôn Đức Thắng,FA7340301,Kế toán (Chuyên ngành Kế toán quốc tế) - Chương trình đại học bằng tiếng Anh,E04; E06; D01; A01,24.0,Thang điểm 40
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Tôn Đức Thắng,K7340301,Kế toán (song bằng 3+1) - Chương trình liên kết Đại học West of England. Bristol (Vương quốc Anh),E04; E06; D01; A01,24.0,"Chương trình liên kết đào tạo quốc tế, thang điểm 40"
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Tôn Đức Thắng,N7340301,Kế toán,A00; A01; C01; D01,22.0,"Chương trình học tại phân hiệu Khánh Hòa, thang điểm 40"
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Kinh Tế - ĐHQG Hà Nội,7340301,Ngành Kế toán,A01; D01; D09; D10; C01; C03; C04; C14,33.1,
Kế toán - Kiểm toán,Kế toán,Trường Đại Học Cần Thơ,7340301,Kế toán,A00; A01; C02; D01,24.2,
Kế toán - Kiểm toán,Kế toán,Trường Đại học Kinh Tế Luật TPHCM,7340301_405,Kế toán,A00; A01; D01; D07,26.17,
Kế toán - Kiểm toán,Kế toán,Trường Đại học Kinh Tế Luật TPHCM,7340301_405E,Kế toán (Tích hợp CCQT ICAEW - Tiếng Anh),A00; A01; D01; D07,25.7,
Kế toán - Kiểm toán,Kế toán,Đại Học Kinh Tế TPHCM,7340301_01,Kế toán doanh nghiệp,A00; A01; D01; D07; D09,25.2,
Kế toán - Kiểm toán,Kế toán,Đại Học Kinh Tế TPHCM,7340301_02,Kế toán công,A00; A01; D01; D07; D09,25.5,
Kế toán - Kiểm toán,Kế toán,Đại Học Kinh Tế TPHCM,7340301_03,Chương trình Kế toán tích hợp chứng chỉ nghề nghiệp quốc tế ICAEW,A00; A01; D01; D07; D09,25.4,
