Trường đào tạo,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
KHA - Đại Học Kinh Tế Quốc Dân,7220201,Ngôn ngữ Anh,A01; D01; D09; D10,35.6,Môn Tiếng Anh hệ số 2
KHA - Đại Học Kinh Tế Quốc Dân,7310101_1,Kinh tế học (ngành Kinh tế),A00; A01; D01; D07,27.2,
KHA - Đại Học Kinh Tế Quốc Dân,7310101_2,Kinh tế và quản lý đô thị (ngành Kinh tế),A00; A01; D01; D07,27.01,
KHA - Đại Học Kinh Tế Quốc Dân,7310101_3,Kinh tế và quản lý nguồn nhân lực (ngành Kinh tế),A00; A01; D01; D07,27.34,
KHA - Đại Học Kinh Tế Quốc Dân,7310104,Kinh tế đầu tư,A00; A01; D01; D07,27.4,
KHA - Đại Học Kinh Tế Quốc Dân,7310105,Kinh tế phát triển,A00; A01; D01; D07,27.2,
KHA - Đại Học Kinh Tế Quốc Dân,7310106,Kinh tế quốc tế,A00; A01; D01; D07,27.54,
KHA - Đại Học Kinh Tế Quốc Dân,7310107,Thống kê kinh tế,A00; A01; D01; D07,36.23,Môn Toán hệ số 2
KHA - Đại Học Kinh Tế Quốc Dân,7310108,Toán kinh tế,A00; A01; D01; D07,36.2,Môn Toán hệ số 2
KHA - Đại Học Kinh Tế Quốc Dân,7320108,Quan hệ công chúng,A01; D01; C03; C04,28.18,
KHA - Đại Học Kinh Tế Quốc Dân,7340101,Quản trị kinh doanh,A00; A01; D01; D07,27.15,
KHA - Đại Học Kinh Tế Quốc Dân,7340115,Marketing,A00; A01; D01; D07,27.78,
KHA - Đại Học Kinh Tế Quốc Dân,7340116,Bất động sản,A00; A01; D01; D07,26.83,
KHA - Đại Học Kinh Tế Quốc Dân,7340120,Kinh doanh quốc tế,A00; A01; D01; D07,27.71,
KHA - Đại Học Kinh Tế Quốc Dân,7340121,Kinh doanh thương mại,A00; A01; D01; D07,27.57,
KHA - Đại Học Kinh Tế Quốc Dân,7340122,Thương mại điện tử,A00; A01; D01; D07,28.02,
KHA - Đại Học Kinh Tế Quốc Dân,7340201,Tài chính - Ngân hàng,A00; A01; D01; D07,27.3,
KHA - Đại Học Kinh Tế Quốc Dân,7340204,Bảo hiểm,A00; A01; D01; D07,26.71,
KHA - Đại Học Kinh Tế Quốc Dân,7340301,Kế toán,A00; A01; D01; D07,27.29,
KHA - Đại Học Kinh Tế Quốc Dân,7340302,Kiểm toán,A00; A01; D01; D07,27.79,
KHA - Đại Học Kinh Tế Quốc Dân,7340401,Khoa học quản lý,A00; A01; D01; D07,27.1,
KHA - Đại Học Kinh Tế Quốc Dân,7340403,Quản lý công,A00; A01; D01; D07,26.96,
KHA - Đại Học Kinh Tế Quốc Dân,7340404,Quản trị nhân lực,A00; A01; D01; D07,27.25,
KHA - Đại Học Kinh Tế Quốc Dân,7340405,Hệ thống thông tin quản lý,A00; A01; D01; D07,36.36,Môn Toán hệ số 2
KHA - Đại Học Kinh Tế Quốc Dân,7340409,Quản lý dự án,A00; A01; D01; D07,27.15,
KHA - Đại Học Kinh Tế Quốc Dân,7380101,Luật,A00; A01; D01; D07,26.91,
KHA - Đại Học Kinh Tế Quốc Dân,7380107,Luật kinh tế,A00; A01; D01; D07,27.05,
KHA - Đại Học Kinh Tế Quốc Dân,7480101,Khoa học máy tính,A00; A01; D01; D07,35.55,Môn Toán hệ số 2
