Tên Trường 2024,Tên Trường 18-23,Tỷ lệ giống (%)
Đại Học Kinh Tế Quốc Dân,Đại Học Kinh Tế Quốc Dân,100
Đại Học Bách Khoa Hà Nội,Đại Học Bách Khoa Hà Nội,100
Học Viện Tài chính,Học Viện Tài Chính,100
Học Viện Ngân Hàng,Học Viện Ngân Hàng,100
Trường Đại học Ngoại thương,Đại Học Thương Mại,76
Trường Đại Học Y Hà Nội,Đại Học Y Hà Nội,81
Học Viện Công Nghệ Bưu Chính Viễn Thông,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc),90
Trường Đại Học Sư Phạm Hà Nội,Đại Học Sư Phạm Hà Nội,86
Trường Đại Học Thương Mại,Đại Học Thương Mại,84
Trường Đại Học Sư Phạm TPHCM,Đại Học Sư Phạm TPHCM,86
Trường Đại Học Y Dược TPHCM,Đại Học Y Dược TPHCM,85
Trường Đại Học Công Nghệ – Đại Học Quốc Gia Hà Nội,Đại Học Công Nghệ – Đại Học Quốc Gia Hà Nội,92
Trường Đại học Thủ Đô Hà Nội,Đại học Thủ Đô Hà Nội,84
Trường Đại Học Giao Thông Vận Tải,HCMC - Đại Học Giao Thông Vận Tải TPHCM,79
Trường Đại Học Y Dược Thái Bình,Đại Học Y Dược Thái Bình,86
Học Viện Kỹ Thuật Mật Mã,Học Viện Kỹ Thuật Mật Mã,100
Trường Đại Học Công Nghiệp Hà Nội,Đại Học Công Nghiệp Hà Nội,87
Trường Đại Học Y Dược Hải Phòng,Đại Học Y Dược Hải Phòng,87
Trường Đại Học Công Nghiệp TPHCM,Đại Học Công Nghiệp TPHCM,87
Học Viện Phụ Nữ Việt Nam,Học Viện Phụ Nữ Việt Nam,100
Trường Đại Học Dược Hà Nội,Đại Học Dược Hà Nội,84
Học Viện An Ninh Nhân Dân,Học Viện An Ninh Nhân Dân,100
Trường Đại Học Kỹ Thuật Y Tế Hải Dương,Đại Học Kỹ Thuật Y Tế Hải Dương,90
Trường Đại Học Giao Thông Vận Tải TPHCM,HCMC - Đại Học Giao Thông Vận Tải TPHCM,84
Học Viện Y Dược Học Cổ Truyền Việt Nam,Học Viện Y Dược Học Cổ Truyền Việt Nam,100
Học Viện Cảnh Sát Nhân Dân,Học Viện Cảnh Sát Nhân Dân,100
Trường Đại Học Kinh Tế Kỹ Thuật Công Nghiệp,Đại Học Kinh Tế Kỹ Thuật Công Nghiệp,91
Trường Đại Học Công Thương TPHCM,Đại Học Công Thương TPHCM,87
Trường Sĩ Quan Lục Quân 1 - Đại học Trần Quốc Tuấn,Trường Sĩ Quan Lục Quân 1 - Đại học Trần Quốc Tuấn,100
Học Viện Hải Quân,Học Viện Hải Quân,100
Học Viện Hàng không Việt Nam,Học Viện Hàng Không Việt Nam,100
Trường Đại Học Phenikaa,Đại Học Phenikaa,82
Học Viện Phòng Không – Không Quân,Học Viện Phòng Không – Không Quân,100
Trường Đại Học Cảnh Sát Nhân Dân,Đại Học Cảnh Sát Nhân Dân,86
Trường Sĩ Quan Thông Tin - Hệ Quân sự - Đại Học Thông Tin Liên Lạc,Trường Sĩ Quan Thông Tin - Hệ Quân sự - Đại Học Thông Tin Liên Lạc,100
Trường Đại Học Hà Nội,Đại Học Y Hà Nội,80
Học Viện Kỹ Thuật Quân Sự - Hệ Quân sự,Học Viện Kĩ Thuật Quân Sự - Hệ Quân sự,97
Trường Đại Học Y Tế Công Cộng,Đại Học Y Tế Công Cộng,86
Học Viện Ngoại Giao,Học Viện Ngoại Giao,100
Trường Đại Học An Ninh Nhân Dân,Đại Học An Ninh Nhân Dân,86
Trường Đại Học Y Dược Cần Thơ,Đại Học Y Dược Cần Thơ,86
Trường Đại học Thủ Dầu Một,Đại học Thủ Dầu Một,84
Trường Đại Học Y Khoa Phạm Ngọc Thạch,Đại Học Y Khoa Phạm Ngọc Thạch,90
Trường Đại Học Thăng Long,Đại Học Thăng Long,84
Trường Đại Học Thủy Lợi,Đại Học Thương Mại,73
Trường Đại Học Khoa Học Tự Nhiên TPHCM,Đại Học Khoa Học Tự Nhiên – Đại Học Quốc Gia TPHCM,71
Trường Đại Học Văn Hóa Hà Nội,Đại Học Văn Hóa Hà Nội,85
Trường Đại Học Tôn Đức Thắng,Đại Học Tôn Đức Thắng,85
Học Viện Nông Nghiệp Việt Nam,Học Viện Nông Nghiệp Việt Nam,100
Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,USSH - Đại Học Khoa Học Xã Hội và Nhân Văn – Đại Học Quốc Gia Hà Nội,74
Trường Đại Học Luật Hà Nội,Đại Học Luật Hà Nội,84
Trường Đại Học Ngoại Ngữ - ĐH Quốc gia Hà Nội,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,83
Học viện Báo chí và Tuyên truyền,Học Viện Báo Chí – Tuyên Truyền,96
Trường Đại Học Khoa Học Tự Nhiên Hà Nội,Đại Học Khoa Học Và Công Nghệ Hà Nội,74
Trường Đại Học Kinh Tế - ĐHQG Hà Nội,Đại Học Kiến Trúc Hà Nội,73
Trường Đại Học Khoa Học Xã Hội và Nhân Văn TPHCM,USSH - Đại Học Khoa Học Xã Hội và Nhân Văn – Đại Học Quốc Gia TPHCM,74
Đại Học Sư Phạm Thái Nguyên,Đại Học Sư Phạm – Đại Học Thái Nguyên,86
Trường Sĩ Quan Chính Trị - Đại Học Chính Trị,Trường Sĩ Quan Chính Trị - Đại Học Chính Trị,100
Trường Đại Học Cần Thơ,Đại Học Cần Thơ,81
Trường Đại học Kiểm Sát Hà Nội,Đại học Kiểm Sát Hà Nội,86
Học Viện Biên Phòng,Học Viện Biên Phòng,100
Trường Đại học Luật – ĐHQG Hà Nội,Đại Học Luật Hà Nội,75
Trường Đại Học Sư Phạm Huế,Trường Du Lịch – Đại Học Huế,77
Trường Đại Học Công Nghệ Thông Tin - ĐHQG TPHCM,UIT - Đại Học Công Nghệ Thông Tin – Đại Học Quốc Gia TPHCM,69
Trường Đại Học Sài Gòn,Đại Học Sài Gòn,79
Học Viện Khoa Học Quân Sự - Hệ Quân sự,Học Viện Khoa Học Quân Sự - Hệ Quân sự,100
Trường Đại học Ngoại thương (Cơ sở II),Đại Học Ngoại Thương (Cơ sở phía Bắc),74
Học viện Tòa án,Học viện Tòa án,100
Trường Đại Học Sư Phạm - Đại Học Đà Nẵng,Đại Học Sư Phạm – Đại Học Đà Nẵng,90
Trường Đại Học Sư Phạm Hà Nội 2,Đại Học Sư Phạm Hà Nội 2,87
Trường Đại Học Giáo Dục - ĐHQG Hà Nội,IS - Trường Quốc Tế – Đại Học Quốc Gia Hà Nội,66
Trường Đại Học Văn Hóa TPHCM,Đại Học Văn Hóa TPHCM,85
Trường Đại Học Sư Phạm Kỹ Thuật TPHCM,Đại Học Sư Phạm Kỹ Thuật TPHCM,90
Học Viện Thanh Thiếu Niên Việt Nam,Học Viện Thanh Thiếu Niên Việt Nam,100
Học Viện Quân Y - Hệ Quân sự,Học Viện Quân Y - Hệ Quân sự,100
Trường Đại học Kinh Tế Luật TPHCM,Đại Học Kinh Tế TPHCM,78
Học Viện Hậu Cần - Hệ Quân sự,Học Viện Hậu Cần - Hệ Quân sự,100
Trường Đại Học Luật TPHCM,Đại Học Luật TPHCM,84
Trường Đại Học Ngoại Ngữ Đà Nẵng,Trường Ngoại Ngữ – Đại Học Thái Nguyên,77
Đại Học Kinh Tế TPHCM,Đại Học Kinh Tế TPHCM,100
Trường Đại học Y Dược - ĐHQG Hà Nội,Đại Học Dược Hà Nội,72
Trường Đại Học Bách Khoa Đà Nẵng,Khoa Y Dược – Đại Học Đà Nẵng,79
Trường Đại Học Ngoại Ngữ Huế,Đại Học Ngoại Ngữ – Đại Học Huế,77
Trường Đại Học Tài Chính Marketing,Đại Học Tài Chính Marketing,88
Trường Đại Học Giao Thông Vận Tải (Cơ sở 2),Đại Học Giao Thông Vận Tải (Cơ sở Phía Bắc),81
Trường Đại Học Nha Trang,Đại Học Nha Trang,83
Trường Sĩ Quan Lục Quân 2 - Đại học Nguyễn Huệ,Trường Sĩ Quan Lục Quân 2 - Đại học Nguyễn Huệ,100
Học Viện Công Nghệ Bưu Chính Viễn Thông (Cơ sở TP.HCM),Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc),80
Trường Đại Học Y Khoa Vinh,Đại Học Y Khoa Vinh,84
Trường Đại học Kỹ thuật Y Dược Đà Nẵng,Đại học Kỹ thuật Y Dược Đà Nẵng,90
Trường Đại Học Y Dược Thái Nguyên,Đại học Tài Nguyên và Môi Trường Hà Nội,77
Trường Đại Học Y Dược Huế,Đại Học Y Dược Hải Phòng,79
Trường Y Dược Đà Nẵng,Đại Học Võ Trường Toản,63
Trường Đại Học Kiến Trúc TPHCM,Đại Học Kiến Trúc TPHCM,86
