SBD,Năm thi,Best_Combo,Best_Combo_Score
2000001,2024,A01,23.45
2000002,2024,C19,21.25
2000003,2024,A01,27.5
2000004,2024,D01,25.1
2000005,2024,D01,23.3
2000006,2024,A01,23.05
2000007,2024,D14,25.6
2000008,2024,D01,19.1
2000009,2024,C19,21.75
2000010,2024,A01,24.450000000000003
2000011,2024,D01,23.5
2000012,2024,D14,25.75
2000013,2024,D01,25.299999999999997
2000014,2024,D14,23.75
2000015,2024,A01,23.45
2000016,2024,C19,21.5
2000017,2024,D01,26.25
2000018,2024,D01,22.45
2000019,2024,D14,23.8
2000020,2024,A01,23.950000000000003
2000021,2024,D01,25.25
2000022,2024,,
2000023,2024,,
2000024,2024,D01,21.35
2000025,2024,D01,23.25
2000026,2024,A01,25.2
2000027,2024,D14,24.3
2000028,2024,D01,18.4
2000029,2024,D01,23.95
2000030,2024,D01,23.85
2000031,2024,,
2000032,2024,D01,21.5
2000033,2024,,
2000034,2024,D01,23.6
2000035,2024,D01,23.799999999999997
2000036,2024,,
2000037,2024,,
2000038,2024,D01,23.450000000000003
2000039,2024,C00,23.75
2000040,2024,D01,21.75
2000041,2024,C19,25.25
2000042,2024,A01,23.85
2000043,2024,D14,25.95
2000044,2024,C19,23.75
2000045,2024,C19,24.0
2000046,2024,A01,20.15
2000047,2024,C19,22.75
2000048,2024,D01,22.9
2000049,2024,D01,23.45
2000050,2024,A01,25.95
2000051,2024,C19,26.75
2000052,2024,D01,17.0
2000053,2024,C19,21.0
2000054,2024,D01,25.4
2000055,2024,,
2000056,2024,D01,24.4
2000057,2024,C19,23.25
2000058,2024,,
2000059,2024,D01,23.700000000000003
2000060,2024,D01,26.450000000000003
2000061,2024,C19,21.75
2000062,2024,D01,13.75
2000063,2024,D01,27.299999999999997
2000064,2024,D01,23.9
2000065,2024,A01,24.95
2000066,2024,D14,19.05
2000067,2024,D01,24.4
2000068,2024,A01,22.6
2000069,2024,D01,23.3
2000070,2024,A01,22.6
2000071,2024,A01,25.6
2000072,2024,A01,23.75
2000073,2024,D01,15.8
2000074,2024,C19,25.25
2000075,2024,C19,20.5
2000076,2024,A01,27.0
2000077,2024,C19,26.25
2000078,2024,D01,22.35
2000079,2024,D01,21.2
2000080,2024,D01,23.6
2000081,2024,D01,24.0
2000082,2024,D14,21.65
2000083,2024,D01,19.3
2000084,2024,C19,24.25
2000085,2024,D01,25.5
2000086,2024,D01,20.549999999999997
2000087,2024,D01,23.4
2000088,2024,D01,23.35
2000089,2024,C19,23.25
2000090,2024,A01,27.0
2000091,2024,C19,24.75
2000092,2024,D14,25.25
2000093,2024,D01,26.3
2000094,2024,C19,22.75
2000095,2024,D01,25.450000000000003
2000096,2024,D01,20.0
2000097,2024,D01,25.05
2000098,2024,D01,21.1
2000099,2024,D14,23.05
2000100,2024,D14,24.7
2000101,2024,C19,25.75
2000102,2024,D01,24.549999999999997
2000103,2024,D01,21.5
2000104,2024,,
2000105,2024,D01,24.1
2000106,2024,D01,26.700000000000003
2000107,2024,D01,23.85
2000108,2024,A01,23.5
2000109,2024,A01,24.65
2000110,2024,D01,22.05
2000111,2024,D01,23.6
2000112,2024,C19,21.5
2000113,2024,D14,20.1
2000114,2024,D01,25.4
2000115,2024,A01,25.7
2000116,2024,C19,22.5
2000117,2024,D14,24.75
2000118,2024,A01,22.700000000000003
2000119,2024,,
2000120,2024,D01,25.25
2000121,2024,A01,23.049999999999997
2000122,2024,D01,23.9
2000123,2024,A01,21.1
2000124,2024,A01,23.25
2000125,2024,D01,24.05
2000126,2024,D01,22.85
2000127,2024,A01,22.55
2000128,2024,A01,20.700000000000003
2000129,2024,A01,21.7
2000130,2024,,
2000131,2024,A01,25.200000000000003
2000132,2024,A01,25.400000000000002
2000133,2024,D14,24.65
2000134,2024,,
2000135,2024,A01,24.950000000000003
2000136,2024,A01,25.0
2000137,2024,D01,24.8
2000138,2024,D01,23.049999999999997
2000139,2024,A01,23.7
2000140,2024,A01,24.35
2000141,2024,A01,19.0
2000142,2024,C19,18.25
2000143,2024,C19,25.5
2000144,2024,D01,22.6
2000145,2024,D01,23.5
2000146,2024,D01,24.049999999999997
2000147,2024,C19,26.25
2000148,2024,A01,26.95
2000149,2024,C19,22.75
2000150,2024,D01,23.35
2000151,2024,D01,22.2
2000152,2024,D01,21.6
2000153,2024,C19,26.5
